,WIN$N_open,WIN$N_close,WIN$N_high,WIN$N_low,WIN$N_tick_volume,WIN$N_real_volume,WIN$N_spread
636117,101190.0,101190.0,101195.0,101160.0,2371,9633,5
636118,101195.0,101170.0,101195.0,101145.0,2397,10929,5
636119,101170.0,101165.0,101175.0,101150.0,1055,4196,5
636120,101170.0,101170.0,101175.0,101090.0,4140,20758,5
636121,101170.0,101180.0,101190.0,101160.0,1890,7229,5
636122,101180.0,101135.0,101185.0,101110.0,2701,10734,5
636123,101135.0,101055.0,101135.0,101050.0,4558,17183,5
636124,101055.0,101025.0,101070.0,100995.0,3939,15155,5
636125,101020.0,101040.0,101060.0,101005.0,2821,13003,5
636126,101040.0,101100.0,101150.0,101035.0,6146,26274,5
636127,101105.0,101100.0,101135.0,101085.0,2468,10180,5
636128,101105.0,101115.0,101130.0,101050.0,2818,13129,5
636129,101110.0,101120.0,101120.0,101100.0,650,2970,5
636130,101120.0,101075.0,101120.0,101055.0,2176,9207,5
636131,101075.0,101075.0,101115.0,101050.0,1508,5968,5
636132,101075.0,101095.0,101115.0,101040.0,2257,9127,5
636133,101095.0,101020.0,101145.0,101015.0,4633,20017,5
636134,101025.0,101030.0,101060.0,100980.0,4772,20986,5
636135,101030.0,101015.0,101055.0,101005.0,1744,9290,5
636136,101015.0,101045.0,101050.0,100980.0,2874,14820,5
636137,101045.0,101020.0,101055.0,101010.0,1585,9213,5
636138,101020.0,101020.0,101045.0,101005.0,1132,6349,5
636139,101015.0,100945.0,101015.0,100895.0,7188,29925,5
636140,100950.0,100940.0,100985.0,100920.0,2553,10607,5
636141,100945.0,100885.0,100950.0,100875.0,2993,12166,5
636142,100885.0,100895.0,100920.0,100860.0,3329,14370,5
636143,100895.0,100870.0,100895.0,100840.0,2570,11106,5
636144,100870.0,100925.0,100935.0,100865.0,3131,12728,5
636145,100925.0,100960.0,100975.0,100915.0,3464,15289,5
636146,100955.0,100920.0,100965.0,100915.0,2173,10065,5
636147,100920.0,100910.0,100925.0,100875.0,2767,12900,5
636148,100905.0,100920.0,100930.0,100875.0,1691,8764,5
636149,100920.0,100915.0,100935.0,100905.0,939,4311,5
636150,100920.0,100910.0,100930.0,100885.0,968,4593,5
636151,100915.0,100940.0,100960.0,100885.0,2333,11701,5
636152,100940.0,100965.0,100970.0,100935.0,1335,5989,5
636153,100960.0,100990.0,101000.0,100960.0,2946,12002,5
636154,100985.0,101025.0,101045.0,100985.0,4032,16146,5
636155,101025.0,101030.0,101035.0,101005.0,1190,4968,5
636156,101035.0,101080.0,101110.0,101015.0,5021,20658,5
636157,101080.0,101085.0,101110.0,101070.0,2092,10772,5
636158,101085.0,101085.0,101100.0,101070.0,1521,7260,5
636159,101085.0,101090.0,101100.0,101075.0,1207,7564,5
636160,101090.0,101110.0,101130.0,101070.0,2972,14514,5
636161,101115.0,101205.0,101245.0,101115.0,7659,34616,5
636162,101210.0,101150.0,101220.0,101125.0,3548,14497,5
636163,101145.0,101135.0,101160.0,101095.0,3257,15523,5
636164,101135.0,101150.0,101175.0,101100.0,2215,10203,5
636165,101150.0,101060.0,101150.0,101035.0,4971,21177,5
636166,101065.0,101085.0,101090.0,101035.0,3587,18172,5
636167,101085.0,101080.0,101115.0,101050.0,2523,14301,5
636168,101080.0,101050.0,101090.0,101025.0,2203,9848,5
636169,101055.0,101145.0,101150.0,101050.0,2750,12397,5
636170,101145.0,101170.0,101210.0,101130.0,4698,20092,5
636171,101170.0,101300.0,101335.0,101170.0,7948,36231,5
636172,101300.0,101280.0,101310.0,101265.0,2711,13945,5
636173,101285.0,101350.0,101360.0,101270.0,2781,12182,5
636174,101345.0,101325.0,101390.0,101305.0,5378,23445,5
636175,101325.0,101365.0,101365.0,101305.0,2906,12712,5
636176,101355.0,101415.0,101435.0,101325.0,5545,23529,5
636177,101415.0,101355.0,101430.0,101350.0,3443,14930,5
636178,101355.0,101390.0,101395.0,101355.0,1394,6253,5
636179,101390.0,101420.0,101440.0,101375.0,2547,14444,5
636180,101425.0,101430.0,101445.0,101400.0,2268,11048,5
636181,101425.0,101465.0,101480.0,101420.0,3022,11467,5
636182,101460.0,101455.0,101465.0,101440.0,1251,5326,5
636183,101455.0,101485.0,101535.0,101455.0,4053,17078,5
636184,101490.0,101515.0,101515.0,101465.0,1978,8305,5
636185,101515.0,101495.0,101520.0,101485.0,1162,4881,5
636186,101500.0,101520.0,101530.0,101490.0,1649,7472,5
636187,101525.0,101500.0,101525.0,101475.0,1715,7138,5
636188,101500.0,101485.0,101505.0,101455.0,2065,8273,5
636189,101480.0,101465.0,101490.0,101465.0,625,2920,5
636190,101470.0,101580.0,101600.0,101455.0,4308,18721,5
636191,101580.0,101550.0,101600.0,101520.0,2151,9851,5
636192,101550.0,101495.0,101550.0,101485.0,1337,5595,5
636193,101495.0,101500.0,101515.0,101480.0,974,4898,5
636194,101500.0,101485.0,101520.0,101470.0,1147,4947,5
636195,101480.0,101480.0,101490.0,101470.0,376,1861,5
636196,101475.0,101485.0,101490.0,101475.0,449,1661,5
636197,101485.0,101460.0,101490.0,101455.0,993,3930,5
636198,101465.0,101475.0,101475.0,101460.0,380,1519,5
636199,101475.0,101465.0,101475.0,101460.0,219,769,5
636200,101465.0,101435.0,101475.0,101435.0,950,4231,5
636201,101435.0,101500.0,101500.0,101420.0,2051,6968,5
636202,101500.0,101600.0,101630.0,101495.0,4675,19740,5
636203,101595.0,101610.0,101685.0,101595.0,3143,15818,5
636204,101610.0,101570.0,101615.0,101550.0,1534,6754,5
636205,101575.0,101570.0,101580.0,101540.0,943,4383,5
636206,101570.0,101550.0,101585.0,101545.0,1064,5321,5
636207,101545.0,101550.0,101560.0,101540.0,596,2621,5
636208,101550.0,101560.0,101570.0,101545.0,498,2404,5
636209,101555.0,101565.0,101570.0,101545.0,373,1681,5
636210,101560.0,101570.0,101575.0,101550.0,389,1636,5
636211,101570.0,101590.0,101655.0,101570.0,2212,10103,5
636212,101590.0,101595.0,101600.0,101575.0,735,3646,5
636213,101600.0,101610.0,101620.0,101590.0,674,3180,5
636214,101605.0,101630.0,101630.0,101605.0,551,2474,5
636215,101630.0,101570.0,101630.0,101565.0,1138,4969,5
636216,101570.0,101585.0,101595.0,101510.0,2064,7755,5
636217,101585.0,101575.0,101590.0,101565.0,555,2027,5
636218,101570.0,101555.0,101580.0,101525.0,799,3083,5
636219,101555.0,101515.0,101555.0,101485.0,1129,3959,5
636220,101520.0,101530.0,101530.0,101505.0,639,2620,5
636221,101535.0,101515.0,101535.0,101500.0,724,2695,5
636222,101515.0,101595.0,101595.0,101495.0,1142,4758,5
636223,101595.0,101620.0,101655.0,101560.0,1465,6786,5
636224,101620.0,101620.0,101650.0,101615.0,826,3687,5
636225,101620.0,101650.0,101660.0,101615.0,631,3061,5
636226,101650.0,101615.0,101655.0,101605.0,941,3785,5
636227,101620.0,101630.0,101645.0,101605.0,623,2650,5
636228,101635.0,101645.0,101660.0,101630.0,396,1399,5
636229,101645.0,101690.0,101705.0,101645.0,582,3330,5
636230,101695.0,101580.0,101695.0,101580.0,861,5560,5
636231,101175.0,101205.0,101280.0,101060.0,3737,11329,5
636232,101210.0,101075.0,101210.0,100900.0,5241,16886,5
636233,101075.0,101120.0,101130.0,101050.0,2519,8204,5
636234,101120.0,101120.0,101205.0,101100.0,3686,12449,5
636235,101125.0,101140.0,101160.0,101085.0,1921,6781,5
636236,101140.0,101140.0,101155.0,101115.0,1912,5036,5
636237,101135.0,101115.0,101150.0,101110.0,998,3753,5
636238,101115.0,101110.0,101125.0,101070.0,1764,6181,5
636239,101115.0,101140.0,101160.0,101110.0,1476,5062,5
636240,101145.0,101150.0,101160.0,101135.0,854,3111,5
636241,101145.0,101185.0,101200.0,101145.0,2836,9586,5
636242,101185.0,101190.0,101200.0,101165.0,1108,3946,5
636243,101195.0,101185.0,101195.0,101160.0,1067,3619,5
636244,101180.0,101140.0,101185.0,101120.0,1967,6659,5
636245,101135.0,101095.0,101150.0,101085.0,1845,5994,5
636246,101090.0,101060.0,101115.0,101050.0,3796,11606,5
636247,101055.0,101115.0,101180.0,101040.0,4885,17901,5
636248,101110.0,101090.0,101120.0,101075.0,1148,3663,5
